Datum,Razlika
8/19/2014,1.5431084667514108
8/18/2014,-0.3028468951718116
8/15/2014,0.29157822739928885
8/14/2014,1.5635171007942867
8/13/2014,0.4942229351125238
8/12/2014,-0.9596647647618052
8/11/2014,1.1409645938565263
8/8/2014,-0.7816925898768325
8/7/2014,1.1071901022261916
8/6/2014,-1.4507425318764104
8/5/2014,0.17748618718507944
8/4/2014,-0.23842668987629162
8/1/2014,-1.7568009028743274
7/31/2014,-1.0144074875460813
7/30/2014,-0.3736718618234469
7/29/2014,0.11562601254490472
7/28/2014,-0.39464556230017656
7/25/2014,-1.0143367188070052
7/24/2014,0.5427907007548987
7/23/2014,0.42491310918149194
7/22/2014,-0.1740671392827823
7/21/2014,-0.21079330240904107
7/18/2014,2.3243054673762553
7/17/2014,-1.4404810416243794
7/16/2014,0.3858423293720047
7/15/2014,0.5389642883301229
7/14/2014,1.869170792945568
7/11/2014,1.0602410250850314
7/10/2014,-0.991987897853667
7/9/2014,-1.052522515101963
7/8/2014,-1.0449526018836641
7/7/2014,0.07028321535817803
7/3/2014,0.0
7/2/2014,0.869762106140688
7/1/2014,-0.058753235173201794
6/30/2014,0.2564198956298374
6/27/2014,-0.6574921942824505
6/26/2014,2.784558500717445
6/25/2014,0.012387990474525929
6/24/2014,1.8085205123336583
6/23/2014,-0.305293747018783
6/20/2014,0.47092438504199113
6/19/2014,1.7215416541240558
6/18/2014,0.12128078772744472
6/17/2014,-0.9212498326050833
6/16/2014,-0.5432177603410511
6/13/2014,-0.9043573137762329
6/12/2014,-0.12545462404331384
6/11/2014,-0.447803892689317
6/10/2014,0.603074561088619
6/9/2014,-0.16306900290571266
6/6/2014,2.1339633367965267
6/5/2014,0.9048961594383442
6/4/2014,-1.7223494592884405
6/3/2014,-1.731763217329583
6/2/2014,-0.017832658621065825
5/30/2014,-0.45265136450106136
5/29/2014,-0.21609640014924705
5/28/2014,1.541373296281046
5/27/2014,1.597046135424491
5/23/2014,1.1328153052427254
5/22/2014,1.5443784799160516
5/21/2014,0.5965226100246522
5/20/2014,1.93187223067223
5/19/2014,-0.3241317028837398
5/16/2014,-0.8198511843461268
5/15/2014,-1.3696091995321782
5/14/2014,0.3974390797165432
5/13/2014,1.4097167759301428
5/12/2014,2.498293600436635
5/9/2014,0.4503779362818745
5/8/2014,-1.4211161990871648
5/7/2014,-1.797313794319596
5/6/2014,0.07812128728559062
5/5/2014,-1.6749108900370695
5/2/2014,1.2615929422250314
5/1/2014,-0.09287144928765617
4/30/2014,2.070035302451638
4/29/2014,-0.054140285545877964
4/28/2014,-1.020080490147975
4/25/2014,-1.426216375501961
4/24/2014,-0.6969078045067458
4/23/2014,0.9742028507794562
4/22/2014,-1.3915315432275532
4/21/2014,-2.3159257909746254
4/17/2014,1.0699770495342655
4/16/2014,1.1512249448492662
4/15/2014,-0.2656760722814944
4/14/2014,1.0703324599350668
4/11/2014,-5.7433721603771355
4/10/2014,0.9613712265609747
4/9/2014,3.1367468941801544
4/8/2014,0.3439754021898678
4/7/2014,-5.900980533660958
4/4/2014,0.8423282434605692
4/3/2014,-5.023420059670834
4/2/2014,7.388451610526338
4/1/2014,-1.44296964106387
3/31/2014,1.0139018452676452
3/28/2014,-1.1971813789504535
3/27/2014,-51.11904450783888
3/26/2014,-0.34219529435166735
3/25/2014,-1.5360707944636685
3/24/2014,-1.833687510906591
3/21/2014,0.5300164131137085
3/20/2014,-0.9778771453112601
3/19/2014,1.4338590408170206
3/18/2014,1.3076115270249202
3/17/2014,-0.23180976692919783
3/14/2014,-2.1490938035284666
3/13/2014,0.9653933400048911
3/12/2014,-1.4310716191847048
3/11/2014,-0.15793596845803168
3/10/2014,-0.9056154639024531
3/7/2014,0.3698050583643822
3/6/2014,0.5950372935373145
3/5/2014,0.0041145608370564335
3/4/2014,0.6836582679994669
3/3/2014,-1.113628543623549
2/28/2014,0.1600497941520548
2/27/2014,-0.45833833226929255
2/26/2014,0.6628621429259538
2/25/2014,0.8777490423547581
2/24/2014,-0.2028419131077812
2/21/2014,0.3881430119080986
2/20/2014,-0.17920197162465162
2/19/2014,0.32378750814332796
2/18/2014,0.4851061973139955
2/14/2014,1.2585165434803618
2/13/2014,-0.6938540070425261
2/12/2014,0.7481948324226071
2/11/2014,0.7142857776801563
2/10/2014,0.35713289864807646
2/7/2014,1.4333714986639243
2/6/2014,0.6778157392627902
2/5/2014,0.47364218345137715
2/4/2014,-3.4947455346201086
2/3/2014,0.6701767986982841
1/31/2014,2.301308715446247
1/30/2014,2.3125284021224606
1/29/2014,0.7925598566685303
1/28/2014,-1.4012961060757112
1/27/2014,-2.1641788848785084
1/24/2014,-0.7749993140097515
1/23/2014,-0.5665998868490996
1/22/2014,0.48925439210958493
1/21/2014,0.35268669437328043
1/17/2014,0.6744417208827939
1/16/2014,-0.33738500159570645
1/15/2014,1.3216794125290539
1/14/2014,1.0191131464712735
1/13/2014,-1.1070405163648718
1/10/2014,-0.38130827265314654
1/9/2014,-0.22338346801919065
1/8/2014,1.8666711435775891
1/7/2014,1.0772557545394421
1/6/2014,-0.1784731483099698
1/3/2014,-0.041235833436674064
1/2/2014,0.28949771017358983
12/31/2013,-0.7229902628984897
12/30/2013,0.030358430479313307
12/27/2013,0.5376989356260626
12/26/2013,-0.08610145373503603
12/24/2013,0.6435964652470917
12/23/2013,1.7954615900202682
12/20/2013,0.6967208679550979
12/19/2013,0.8322087033591623
12/18/2013,-0.0904208831934326
12/17/2013,0.8289517007000299
12/16/2013,-1.0600700030437982
12/13/2013,-0.3862640696152609
